country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
US,"From a site in cool-climate Freestone, this wine astounds in its firm grasp of crisp tangerine, strawberry and cherry. Elegant, rounded and lengthy, it offers everything one wants in the variety—a mix of cardamom, nutmeg and white pepper, with lasting notes of black tea and forest floor.",Hawk Hill,98,82,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Lynmar Estate 2018 Hawk Hill Pinot Noir (Russian River Valley),Pinot Noir,Lynmar Estate
US,"Earth, flowers and a grip of black fruit pop along a textured, structured core in this remarkable, memorable wine. The oak and tannin integration is high-level, providing a sense of cohesion and elegance throughout.",Monastery,97,73,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Lynmar Estate 2018 Monastery Pinot Noir (Russian River Valley),Pinot Noir,Lynmar Estate
US,"From a two-acre parcel within the producer's estate Quail Hill Vineyard—its coolest point—this wine has a savory entry of black tea, dried herb and compost, an impressive earthiness that persists through a lengthy palate. Along the way, crisp red fruit and a welcome salinity complement each other effortlessly, finishing bright.",Bliss Block,97,82,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Lynmar Estate 2018 Bliss Block Pinot Noir (Russian River Valley),Pinot Noir,Lynmar Estate
US,"Joey Tensley's expertise in rich Syrahs makes a perfect partner to this cool-climate site in the Sta. Rita Hills. Intense aromas of peppercorn, roast lamb, tar and elderberry coulis lead into a dense, viscous and yet enlivening palate, loaded with flavors of spicy cracked pepper and beef yakitori in a blackberry dipping sauce. It only grows more intense with time. Drink now through 2038.",Turner Vineyard,97,42,California,Santa Barbara County,Central Coast,Matt Kettmann,@mattkettmann,Tensley 2018 Turner Vineyard Syrah (Santa Barbara County),Syrah,Tensley
Italy,"Underbrush, wild red berry, new leather and rose aromas are front and center on this fragrant, focused red. Radiant and savory, the taut, chiseled palate delivers juicy red cherry, crushed strawberry, star anise and white pepper alongside firm refined tannins. Hint of blood orange. Loaded with finesse and tension, it's youthfully austere at this stage and shows fantastic aging potential. Drink 2022–2041.",Baron'Ugo,97,80,Tuscany,Toscana,,Kerin O’Keefe,@kerinokeefe,Monteraponi 2016 Baron'Ugo Red (Toscana),Red Blends,Monteraponi
France,"In this wine, a heady nose offers dried lemon zest, lemon oil and chalky hayflower. The luscious body flows with almost viscous intensity, vibrating with lemony freshness and concentration amid the candied, sweet richness of the fruit. It's a high-wire act of compelling intensity. Exquisite and exciting now, the wine has enough concentration, acid and sweetness to outlast us all. Drink by 2050.",Vendanges Tardives Sporen Grand Cru,97,78,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Domaine Bott-Geyl 2015 Vendanges Tardives Sporen Grand Cru Riesling (Alsace),Riesling,Domaine Bott-Geyl
Portugal,"A magnificent wine, hugely rich, dense and with great presence. Produced from a small parcel of 100-year-old vines, it has all the concentration typical of low yield vines. It also has a great complexity from the field blend, giving a rich structure that will let the wine age for many years. Don't touch until 2024.",Vallado Vinha da Granja,97,270,Douro,,,Roger Voss,@vossroger,Quinta do Vallado 2017 Vallado Vinha da Granja Red (Douro),Portuguese Red,Quinta do Vallado
US,"Almost opaque in the glass, this powerful bottling, which includes 2% each of Grenache and Viognier and was aged in mostly new French oak for 23 months and begins with aromas of cassis, cola, black pepper and violet. It's silky smooth on the palate at first, before the tannins stand up to balance the rich flavors of cassis, espresso bean, cola and charred meat, with waves of purple-flower flavors that won't stop. Drink now through 2037.",Hommage A Nos Pairs Reserve,97,98,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Clos Solène 2017 Hommage A Nos Pairs Reserve Syrah (Paso Robles),Syrah,Clos Solène
US,"From a specific block of the estate Quail Hill Vineyard, this wine is robust in oak and tannin, with subtle power and ripe black-cherry fruit. The texture becomes supple and round on the palate, with an enduring richness and salty, spicy character.",Block 10,96,82,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Lynmar Estate 2018 Block 10 Pinot Noir (Russian River Valley),Pinot Noir,Lynmar Estate
US,"Elegant layers of cassis and elderberry liqueur meet with a kick of black cardamom on the nose of this blend of 61% Malbec, 28% Petit Verdot and 11% Cabernet Franc. The tannins are incredibly smooth on the palate, where cassis, cocoa, walnut and espresso flavors play out.",Cuvée Lizzy,96,85,California,Adelaida District,Central Coast,Matt Kettmann,@mattkettmann,Daou 2017 Cuvée Lizzy Red (Adelaida District),Bordeaux-style Red Blend,Daou
